молокозавод;Молокозавод;Озёры [2632801];
К/т.Октябрь;к/т Октябрь;Озёры [2632801];
Ул.Герцена;ул. Герцена;Озёры [2632801];
Герцена ул;ул. Герцена;Озёры [2632801];
А/с Старая Коломна;А/с.Старая Коломна;Озёры [2632801];
ст Электроугли;ст. Электроугли;Ногинск [2573660];
маг Промтоварный;Промтоварный магазин;Ногинск [2573660];
Ул.Рабочая;ул. Рабочая;Ногинск [2573660];
Ленина ул;ул. Ленина;Ногинск [2573660];
НЗТА;ДК НЗТА;Ногинск [2573660];
з-д Асфальтовый;Асфальтовый з-д;Ногинск [2573660];
школа;Школа;Можайск [2415592];
маг Книжный;Книжный магазин;Можайск [2415592];
Сан.Можайский;сан. Можайский;Можайск [2415592];
С/т.Швейник;с/т Швейник;Можайск [2415592];
С/т.Чайка;с/т Чайка;Можайск [2415592];
С/т.Полиграфист;с/т Полиграфист;Можайск [2415592];
С/т.Мечта;с/т Мечта;Можайск [2415592];
С/т.Садки;с/т Садки;Можайск [2415592];
С/т.Венки;с/т Венки;Можайск [2415592];
р Москва;Р.Москва;Можайск [2415592];
пов на Ягодино;Пов.на Ягодино;Можайск [2415592];
пов на Раево;Пов.на Раево;Можайск [2415592];
пов на Некрасово;Пов.на Некрасово;Можайск [2415592];
пов на Милятино;Пов.на Милятино;Можайск [2415592];
пов на Дзержинского;Пов.на Дзержинского;Можайск [2415592];
пов на Дегтяри;Пов.на Дегтяри;Можайск [2415592];
пов на Гидроузел;Пов.на Гидроузел;Можайск [2415592];
П/л.Снежинка;п/л Снежинка;Можайск [2415592];
П/л.Бородино;п/л Бородино;Можайск [2415592];
Красновид. Ш;Красновидовское шосс;Можайск [2415592];
Кирпичнный з-д;Кирпичный з-д;Можайск [2415592];
Клементьевская ул;ул.Клементьевская;Можайск [2415592];
Ст.Можайск;ст. Можайск;Можайск [2415592];
cт.Можайск;ст. Можайск;Можайск [2415592];
22 км;22-й км;Можайск [2415592];
141 км;141-й км;Можайск [2415592];
138 км;138-й км;Можайск [2415592];
136 км;136-й км;Можайск [2415592];
135 км;135-й км;Можайск [2415592];
133 км;133-й км;Можайск [2415592];
131 км;131-й км;Можайск [2415592];
128 км;128-й км;Можайск [2415592];
114 км;114-й км;Можайск [2415592];
"""ОУЭС""";ОУЭС;Можайск [2415592];
108 км 2;108-й км - 2;Можайск [2415592];
108-й км - 1;108 км - 1;Можайск [2415592];
ул. Л. Толстого;ул. Толстого;Люберцы [2361178];
Ст.Люберцы (п);ст. Люберцы (п);Люберцы [2361178];
ст Люберцы;ст. Люберцы;Люберцы [2361178];
Юбилейная ул;ул. Юбилейная;Люберцы [2361178];
Ул.Южная;ул. Южная;Люберцы [2361178];
Ул.Строителей;ул. Строителей;Люберцы [2361178];
Ул.Московская;ул. Московская;Люберцы [2361178];
Ул.Космонавтов;ул. Космонавтов;Люберцы [2361178];
Ул.Колхозная;ул. Колхозная;Люберцы [2361178];
Московская ул;ул. Московская;Люберцы [2361178];
Ковровый комб;Ковровый комбинат;Люберцы [2361178];
север;Север;Лыткарино [2335538];
пос. Октябрьский (шк;пос.Октябрьский (Шко;Лыткарино [2335538];
маг Автозапчасти;"м-н ""Автозапчасти""";Лыткарино [2335538];
квартал 3а;Квартал 3А;Лыткарино [2335538];
д/к Мир;"ДК ""МИР""";Лыткарино [2335538];
ТехникумЗвезда;"Техникум ""Звезда""";Лыткарино [2335538];
по требованию;По требованию;Лыткарино [2335538];
"Д/К ""МИР""";"ДК ""МИР""";Лыткарино [2335538];
пов на Фруктовую;Пов.на Фруктовую;Луховицы [2302376];
пов на Мишино;Пов.на Мишино;Луховицы [2302376];
Магазин 1;Магазин №1;Луховицы [2302376];
Магазин 7;Магазин №7;Луховицы [2302376];
маг книжный;Маг.Книжный;Луховицы [2302376];
Луховицы пер;Луховицы Перекресток;Луховицы [2302376];
Луховицы (Вокзал);Луховицы (вокзал);Луховицы [2302376];
Деский сад;Дет. Сад;Луховицы [2302376];
Д/К Старт;ДК Старт;Луховицы [2302376];
пов. на Бакланово;Пов.на Бакланово;Клин [2251838];
С/х.Высоковский;с-х Высоковский;Клин [2251838];
"п/л ""Ласточка""";П/л Ласточка;Клин [2251838];
пов на Яковское;Пов.на Яковское;Кашира [2228461];
Пов.на Центролит;пов на Центролит;Кашира [2228461];
пов на Тарасково;Пов.на Тарасково;Кашира [2228461];
пов на Ступино;Пов. Ступино;Кашира [2228461];
пов на Ожерелье;Пов.на Ожерелье;Кашира [2228461];
пов на Елькино;Пов.на Елькино;Кашира [2228461];
отделение с/х;Отделение с/х;Кашира [2228461];
Туб.Больница;Туб. Больница;Кашира [2228461];
ст Кашира;ст. Кашира;Кашира [2228461];
Ст.Кашира;ст. Кашира;Кашира [2228461];
Пов.Ступино;Пов. Ступино;Кашира [2228461];
Клубная;Клубная ул;Кашира [2228461];
Ул.Вахрушева;ул. Вахрушева;Кашира [2228461];
Вахрушева ул;ул. Вахрушева;Кашира [2228461];
ст. Подлипки.;ст. Подлипки;Королёв [2216131];
ст Болшево;ст. Болшево;Королёв [2216131];
Ст.Болшево;ст. Болшево;Королёв [2216131];
перекресток;Перекресток;Королёв [2216131];
Мичурина ул;ул. Мичурина;Королёв [2216131];
Ленина ул;ул. Ленина;Королёв [2216131];
пов. на Мансурово;Пов.на Мансурово;Истра [2184733];
гортоп;Гортоп;Истра [2184733];
Школа-Лермонтовская;школа-Лермонтовская;Истра [2184733];
Ул.Победы;ул. Победы;Истра [2184733];
Ул.Гагарина;ул. Гагарина;Истра [2184733];
Ул.9 мая;ул. 9 мая;Истра [2184733];
Ст.Истра;ст. Истра;Истра [2184733];
Ст.Дедовск;ст. Дедовск;Истра [2184733];
почта;Почта;Истра [2184733];
поликлиника;Поликлиника;Истра [2184733];
Пл.Урицкого;пл. Урицкого;Истра [2184733];
Босова ул;ул. Босова;Истра [2184733];
больница;Больница;Истра [2184733];
стоа;СТОА;Ивантеевка [2144513];
ст Тарасовская;ст. Тарасовская;Ивантеевка [2144513];
ст Пушкино;ст. Пушкино;Ивантеевка [2144513];
ст Зеленоградская;ст. Зеленоградская;Ивантеевка [2144513];
сан Ивантеевка;сан. Ивантеевка;Ивантеевка [2144513];
пов. на Королев;пов на Королев;Ивантеевка [2144513];
горсовет;Горсовет;Ивантеевка [2144513];
библиотека;Библиотека;Ивантеевка [2144513];
типография;Типография;Ивантеевка [2144513];
почта;Почта;Ивантеевка [2144513];
Школа;школа;Ивантеевка [2144513];
Школа;школа;Жуковский [2109707];
Новоселки ул;ул. Новоселки;Ивантеевка [2144513];
Новая деревня;Новая Деревня;Ивантеевка [2144513];
Нов Деревня;Новая Деревня;Ивантеевка [2144513];
мост;Мост;Ивантеевка [2144513];
Ивантеевский пов;Ивантеевский поворот;Ивантеевка [2144513];
Мкр. Заветы Ильича;м/р Заветы Ильича;Ивантеевка [2144513];
3-я Пятилетка ул;ул. 3-я Пятилетка;Ивантеевка [2144513];
ст. Быково;ст.Быково;Жуковский [2109707];
м-н «Дикси»;"магазин ""Дикси""";Жуковский [2109707];
Хлебозавод (г. Любер;Хлебозавод;Жуковский [2109707];
Пл.Удельная;платф. Удельная;Жуковский [2109707];
Пл.Отдых (П);платф. Отдых (П);Жуковский [2109707];
Керосиновая Лавка;Керосиновая лавка;Жуковский [2109707];
Гастроном (г. Люберц;Гастроном;Жуковский [2109707];
ВИНИТИ (г. Люберцы);ВИНИТИ;Жуковский [2109707];
Северный пер;пер. Северный;Егорьевск [2059417];
Старо-Нечаевская ул;ул. Старо-Нечаевская;Егорьевск [2059417];
Ст.м. Выхино;м. Выхино;Егорьевск [2059417];
ст. Спасс - 2;Ст. Спасс - 2;Егорьевск [2059417];
Рязановский 2;Рязановский - 2;Егорьевск [2059417];
Рязановский 1;Рязановский - 1;Егорьевск [2059417];
Нечаевская ул;ул. Нечаевская;Егорьевск [2059417];
Дорожный уч-к;Дорожный участок;Егорьевск [2059417];
Гражданская ул;ул. Гражданская;Егорьевск [2059417];
Владимирская ул;ул. Владимирская;Егорьевск [2059417];
Артемовская;Артёмовская;Егорьевск [2059417];
Алферово (Заезд);Алфёрово (заезд);Егорьевск [2059417];
Алфёрово;Алферово;Егорьевск [2059417];
1 Посёлок;1 поселок;Егорьевск [2059417];
Новая ул;ул. Новая;Домодедово [1984840];
ст Домодедово;ст. Домодедово;Домодедово [1984840];
ст Барыбино;ст. Барыбино;Домодедово [1984840];
маг Заборье;Заборье магазин;Домодедово [1984840];
МЕТАКО;"з-д ""МЕТАКО""";Домодедово [1984840];
дом быта;Дом быта;Домодедово [1984840];
Дачник;дачник;Домодедово [1984840];
Д/к Мир;д/к Мир;Домодедово [1984840];
Госфильмофонд;госфильмофонд;Домодедово [1984840];
Муз.Школа;муз. Школа;Домодедово [1984840];
снт Житнево;СНТ Житнево;Домодедово [1984840];
Марта 8 ул;ул. 8-го Марта;Домодедово [1984840];
Р-н Казахстан;р-н Казахстан;Домодедово [1984840];
Поле чудес;Поле Чудес;Домодедово [1984840];
поликлиника;Поликлиника;Домодедово [1984840];
пов на Подмосковье;Пов.на Подмосковье;Домодедово [1984840];
пов на Зелёную Рощу;Пов.на Зелёную Рощу;Домодедово [1984840];
победы пл;пл. Победы;Домодедово [1984840];
п/к Ёлочка;"п/к ""Ёлочки""";Домодедово [1984840];
п/к Ёлочки;"п/к ""Ёлочки""";Домодедово [1984840];
Маяковского ул;ул. Маяковского;Домодедово [1984840];
З-д Металлоконструкц;з-д Металлоконструкц;Домодедово [1984840];
З-д Кондиционер;з-д Кондиционер;Домодедово [1984840];
жск Маяк;ЖСК Маяк;Домодедово [1984840];
Дрп-4;дрп-4;Домодедово [1984840];
больница;Больница;Домодедово [1984840];
25-лет Октября ул;ул. 25-летия Октября;Домодедово [1984840];
Ул.Спортивная;ул. Спортивная;Долгопрудный [1953027];
Ул.Нагорная;ул. Нагорная;Долгопрудный [1953027];
Ул.Лавочкина;ул. Лавочкина;Долгопрудный [1953027];
Ул.Заводская;ул. Заводская;Долгопрудный [1953027];
Ул.Библиотечная;ул. Библиотечная;Долгопрудный [1953027];
Ст.Долгопрудная;ст. Долгопрудная;Долгопрудный [1953027];
пл. Яхрома;ст. Яхрома;Дмитров [1926168];
лесничество;Лесничество;Дмитров [1926168];
Рождествено;Рождественно;Дмитров [1926168];
По требованию;по требованию;Дмитров [1926168];
"снт ""Фиалка""";"СНТ ""Фиалка""";Волоколамск [1822684];
"снт ""Роща""";"СНТ ""Роща""";Волоколамск [1822684];
п-т Хилово;п-т на Хилово;Волоколамск [1822684];
п-т Рождествено;п-т на Рождествено;Волоколамск [1822684];
п-т Немки;п-т на Немки;Волоколамск [1822684];
школа;Школа;Видное [1762726];
хлебозавод;Хлебозавод;Видное [1762726];
теплицы;Теплицы;Видное [1762726];
площадь;Площадь;Видное [1762726];
дома парижской ком.;Дома парижской комму;Видное [1762726];
детский сад;Детский сад;Видное [1762726];
ст.Расторгуево;ст. Расторгуево;Видное [1762726];
Ст.Расторгуево;ст. Расторгуево;Видное [1762726];
С/х Ленинский;С/х.Ленина;Видное [1762726];
с/т «Тверское»;"с/т ""Тверское""";Бронницы [1742847];
с/т «Раздолье»;"с/т ""Раздолье""";Бронницы [1742847];
пов. «Марьинка»;"пов. ""Марьинка""";Бронницы [1742847];
по требованию.;По требованию;Бронницы [1742847];
с/х Степановский;С/з.Степановский;Бронницы [1742847];
Новые дома;Новые Дома;Бронницы [1742847];
Агрогородок (г. Желе;Агрогородок;Балашиха [1691732];
Агрогордок;Агрогородок;Балашиха [1691732];
пов. на мкр-н Северн;Пов.на м-рн.Северный;Балашиха [1691732];
маг Молочный;маг. Молочный;Балашиха [1691732];
маг Мелодия;маг. Мелодия;Балашиха [1691732];
маг Весна;маг. Весна;Балашиха [1691732];
А/с. Звездная;а/с Звездная;Балашиха [1691732];
Ул.Чехова;ул. Чехова;Балашиха [1691732];
Ул.Хабаровская;ул. Хабаровская;Балашиха [1691732];
Ул.Трубецкая;ул. Трубецкая;Балашиха [1691732];
Ул.Терешковой;ул. Терешковой;Балашиха [1691732];
Ул.Свердлова;ул. Свердлова;Балашиха [1691732];
Ул.Объединения;ул. Объединения;Балашиха [1691732];
Ул.Крупской;ул. Крупской;Балашиха [1691732];
Ул.Крупешина;ул. Крупешина;Балашиха [1691732];
Ст.м.Щёлковская;м. Щёлковская;Балашиха [1691732];
Ст.м.Партизанская;м. Партизанская;Балашиха [1691732];
"Стадион ""Труд""";Стадион Труд;Балашиха [1691732];
Ст.Кучино;ст. Кучино;Балашиха [1691732];
Ул.Керамическая;ул. Керамическая;Балашиха [1691732];
Ст.Железнодорожная;ст. Железнодорожная;Балашиха [1691732];
РГЗУ;РГАЗУ;Балашиха [1691732];
Пос.Восточный;Поселок Восточный;Балашиха [1691732];
Поликлиника №4;Поликлиника №4;Балашиха [1691732];
По Требованию;По требованию;Балашиха [1691732];
М-рн.Гагарина;мкр. Гагарина;Балашиха [1691732];
Калинина ул;ул. Калинина;Балашиха [1691732];
Доржный участок;Дорожный участок;Балашиха [1691732];
Ул.Зелёная;ул. Зелёная;Балашиха [1691732];
Граничная ул;ул. Граничная;Балашиха [1691732];
Баня (по треб);Баня (по треб);Балашиха [1691732];
А/с Южная;А/с.Южная;Балашиха [1691732];
Cт.Балашиха;ст. Балашиха;Балашиха [1691732];
пл. Революции;пл.Революции;Павловский Посад [1653422];
вокзал;Вокзал;Павловский Посад [1653422];
Разворотная пл;Разворотная площадка;Электросталь [1608996];
"Платформа ""Маш-строи";"Платформа ""Маш-строитель""";Электросталь [1608996];
А/к.1791;а/к 1791;Сергиев Посад [1504610];
црб;ЦРБ;Сергиев Посад [1504610];
Ст. Сергиев Посад;ст. Сергиев Посад;Сергиев Посад [1504610];
Пионерский лагерь;Пионерлагерь;Сергиев Посад [1504610];
Пионер. Лагерь;Пионерлагерь;Сергиев Посад [1504610];
Охотхозяйство;Охотохозяйство;Сергиев Посад [1504610];
Кладбище (по требова;Кладбище (по треб.);Сергиев Посад [1504610];
ул. Флотская;Флотская ул.;Коломна [1131929];
Ул.Флотская;Флотская ул.;Коломна [1131929];
ул. Спирина;Спирина ул.;Коломна [1131929];
Ул.Спирина;Спирина ул.;Коломна [1131929];
ул. Зелёная;Зелёная ул.;Коломна [1131929];
Ул.Зелёная;Зелёная ул.;Коломна [1131929];
ул. Астахова;Астахова ул.;Коломна [1131929];
Ул.Астахова;Астахова ул.;Коломна [1131929];
Ул.Уманская;Уманская ул.;Коломна [1131929];
Трамвайное депо;Трамвайное Депо;Коломна [1131929];
Пр. Автомобилистов;Пр-д.Автомобилистов;Коломна [1131929];
Пов.на Никульское;Пов. на Никульское;Коломна [1131929];
Пов.на Лукерьино;Пов. на Лукерьино;Коломна [1131929];
Пл.2-х Революций;Пл. 2-х Революций;Коломна [1131929];
Новые дома;Новые Дома;Коломна [1131929];
Новое кладбище;Новое Кладбище;Коломна [1131929];
"Маг. ""Спорттовары""";Маг.Спорттовары;Коломна [1131929];
"Маг. ""Красн. Октябрь";Маг.Красный Октябрь;Коломна [1131929];
"Маг. ""Ковры""";Маг.Ковры;Коломна [1131929];
"Маг. ""Берёзка""";Маг.Берёзка;Коломна [1131929];
"Клуб ""Станкостроит.""";Клуб Станкостроителе;Коломна [1131929];
"К/т ""Спутник""";К/т Спутник;Коломна [1131929];
"З-д ""Тепловозостр.""";З-д Тепловозостр.;Коломна [1131929];
Д/к Куйбышева;Д/к.им Куйбышева;Коломна [1131929];
"Гост. ""Советская""";Гост.Советская;Коломна [1131929];
"А/с ""Старая Коломна""";А/с.Старая Коломна;Коломна [1131929];
А/с Старая Коломна;А/с.Старая Коломна;Коломна [1131929];
А/в.Цетральный;А/в.Центральный;Коломна [1131929];
А/в Голутвин;А/в.Голутвин;Коломна [1131929];
"А/в ""Голутвин""";А/в.Голутвин;Коломна [1131929];
ст. Лопатино;ст Лопатино;Воскресенск [1087909];
ст. Берендино;ст Берендино;Воскресенск [1087909];
сада Ильино;сады Ильино;Воскресенск [1087909];
платф. 88 км;пл 88 км;Воскресенск [1087909];
завод Гигант;завод Гигант;Воскресенск [1087909];
по требованию;по требованию;Воскресенск [1087909];
По требованию;по требованию;Воскресенск [1087909];
ул. Мичурина;Мичурина ул;Воскресенск [1087909];
ул. Ленинская;Ленинская ул;Воскресенск [1087909];
ул. Калинина;Калинина ул.;Воскресенск [1087909];
Архив Министерства о;Архив Министерства обороны;Подольск [44787];
ст. Подольск;ст.Подольск;Подольск [44787];
ст. Гривно;ст.Гривно;Подольск [44787];
ст. Весенняя;ст.Весенняя;Подольск [44787];
Фетищево (по требова;Фетищево (по требованию);Подольск [44787];
Сквер Подольских Кур;Сквер Подольских Курсантов;Подольск [44787];
Профессиональное учи;Профессиональное училище №27;Подольск [44787];
По трабованию;По требованию;Подольск [44787];
Площадь генерала А.С;Площадь генерала А.С. Еремеева;Подольск [44787];
Киселево-2;Киселёво - 2;Подольск [44787];
Административный кор;Административный корпус;Подольск [44787];
50 лет Сов. Власти п;50 лет Сов. Власти пл.;Подольск [44787];
